;Date;Week_day;Open;Close;Change
95;6/04/22;Wednesday; 44,163.42 ; 43,877.45 ;-0.65%
96;7/04/22;Thursday; 43,498.87 ; 43,567.36 ;0.16%
97;8/04/22;Friday; 43,550.12 ; 42,798.74 ;-1.73%
98;9/04/22;Saturday; 42,425.50 ; 42,423.18 ;-0.01%
99;10/04/22;Sunday; 42,640.00 ; 43,101.23 ;1.08%
100;11/04/22;Monday; 40,842.57 ; 39,838.26 ;-2.46%
101;12/04/22;Tuesday; 39,854.35 ; 39,519.99 ;-0.84%
102;13/04/22;Wednesday; 40,576.94 ; 41,241.16 ;1.64%
103;14/04/22;Thursday; 40,475.21 ; 39,909.99 ;-1.40%
104;15/04/22;Friday; 39,989.89 ; 40,396.69 ;1.02%
105;16/04/22;Saturday; 40,486.01 ; 40,280.00 ;-0.51%
106;17/04/22;Sunday; 40,378.03 ; 40,263.19 ;-0.28%
107;18/04/22;Monday; 39,409.05 ; 40,664.26 ;3.19%
108;19/04/22;Tuesday; 41,524.06 ; 41,293.15 ;-0.56%
109;20/04/22;Wednesday; 41,612.29 ; 41,413.27 ;-0.48%
110;21/04/22;Thursday; 42,611.04 ; 40,609.25 ;-4.70%
111;22/04/22;Friday; 39,887.14 ; 39,623.54 ;-0.66%
112;23/04/22;Saturday; 39,662.42 ; 39,794.24 ;0.33%
113;24/04/22;Sunday; 39,478.09 ; 39,500.00 ;0.06%
114;25/04/22;Monday; 38,985.08 ; 40,185.34 ;3.08%
115;26/04/22;Tuesday; 39,686.82 ; 38,129.14 ;-3.92%
116;27/04/22;Wednesday; 38,574.35 ; 39,099.99 ;1.36%
117;28/04/22;Thursday; 38,979.99 ; 39,870.00 ;2.28%
118;29/04/22;Friday; 38,937.07 ; 38,564.44 ;-0.96%
119;30/04/22;Saturday; 38,394.46 ; 38,326.45 ;-0.18%
120;1/05/22;Sunday; 37,931.24 ; 38,313.23 ;1.01%
121;2/05/22;Monday; 38,964.04 ; 38,316.36 ;-1.66%
122;3/05/22;Tuesday; 38,333.81 ; 37,785.80 ;-1.43%
123;4/05/22;Wednesday; 38,856.96 ; 39,811.15 ;2.46%
124;5/05/22;Thursday; 38,643.34 ; 36,466.44 ;-5.63%
125;6/05/22;Friday; 35,818.45 ; 36,082.53 ;0.74%
126;7/05/22;Saturday; 35,921.97 ; 35,785.69 ;-0.38%
127;8/05/22;Sunday; 34,468.35 ; 34,229.76 ;-0.69%
128;9/05/22;Monday; 32,774.20 ; 30,954.25 ;-5.55%
