Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
2018-02-06,Tuesday,london,08:00:00,14:29:59,6040.98,6868.51,827.5300000000007,0.1369860519319714,19130.832732000003
2018-02-06,Tuesday,new_york,14:30:00,20:59:59,6868.51,7486.0,617.4899999999998,0.0899015943778198,18310.421727
2018-02-07,Wednesday,tokyo,02:00:00,07:59:59,7576.33,7669.97,93.64000000000031,0.0123595461126957,15126.515913999998
2018-02-07,Wednesday,london,08:00:00,14:29:59,7669.97,8115.0,445.02999999999975,0.0580223912218691,17874.679479
2018-02-07,Wednesday,new_york,14:30:00,20:59:59,8117.22,8126.84,9.61999999999989,0.0011851348121647,14656.207734
2018-02-09,Friday,tokyo,10:00:00,10:29:59,7789.9,8191.33,401.4300000000003,0.0515321120938652,14597.807182
2018-02-09,Friday,london,10:00:00,10:29:59,7789.9,8191.33,401.4300000000003,0.0515321120938652,15180.652351
2018-02-09,Friday,new_york,10:00:00,10:29:59,7789.9,8191.33,401.4300000000003,0.0515321120938652,13477.584929999995
2018-02-09,Friday,tokyo,10:00:00,10:29:59,7789.9,8191.33,401.4300000000003,0.0515321120938652,9813.642412
2018-02-09,Friday,london,10:00:00,14:29:59,7789.9,8424.81,634.9099999999999,0.0815042555103402,11193.122477
2018-02-09,Friday,new_york,14:30:00,20:59:59,8412.17,8539.23,127.05999999999948,0.0151043072120511,13266.530611000002
2018-02-10,Saturday,tokyo,02:00:00,07:59:59,8784.36,8915.15,130.78999999999905,0.0148889617456478,13615.555133999998
2018-02-10,Saturday,london,08:00:00,14:29:59,8915.15,8685.87,-229.27999999999884,-0.0257180193266517,9183.973890999998
2018-02-10,Saturday,new_york,14:30:00,20:59:59,8696.52,8170.98,-525.5400000000009,-0.0604310689793159,10342.907576
2018-02-11,Sunday,tokyo,02:00:00,07:59:59,8224.94,7850.72,-374.22000000000025,-0.0454982042422194,12312.566766
2018-02-11,Sunday,london,08:00:00,14:29:59,7851.2,8309.0,457.8000000000002,0.0583095577746077,12022.801014
2018-02-11,Sunday,new_york,14:30:00,20:59:59,8308.97,8246.92,-62.04999999999927,-0.0074678329564313,9898.728991
2018-02-12,Monday,tokyo,02:00:00,07:59:59,8345.51,8473.76,128.25,0.0153675449433288,9964.460996
2018-02-12,Monday,london,08:00:00,14:29:59,8470.01,8536.0,65.98999999999978,0.0077910179562952,10588.78154
2018-02-12,Monday,new_york,14:30:00,20:59:59,8536.0,8872.02,336.02000000000044,0.0393650421743205,9085.148864
2018-02-13,Tuesday,tokyo,02:00:00,07:59:59,8727.14,8669.39,-57.75,-0.0066172881379237,10849.882388
2018-02-13,Tuesday,london,08:00:00,14:29:59,8656.26,8624.58,-31.68000000000029,-0.0036597791655981,14016.661416000004
2018-02-13,Tuesday,new_york,14:30:00,20:59:59,8624.43,8700.01,75.57999999999993,0.0087634777022944,9335.048285
2018-02-14,Wednesday,tokyo,02:00:00,07:59:59,8661.98,8870.17,208.1900000000005,0.0240349204223515,13221.857191
2018-02-14,Wednesday,london,08:00:00,14:29:59,8870.17,9159.62,289.4500000000007,0.0326318435836066,12293.476042
